pdv_id;produto_id
11210;01444
15686;01444
17925;01444
04286;01444
07677;01444
07031;01444
12764;01444
16283;01444
12429;01444
03466;01444
03948;01444
18265;01444
06740;01444
12445;01444
15973;01444
17667;01444
18186;01444
04209;01444
03653;01444
06819;01444
18459;01444
16595;01444
02212;01444
12453;01444
17914;01444
18553;01444
10872;01444
13094;01444
15258;01444
15838;01444
16511;01444
16601;01444
17130;01444
00241;01444
02023;01444
04519;01444
11122;01444
13017;01444
15395;01444
16296;01444
16512;01444
17288;01444
17317;01444
18521;01444
11640;01444
13420;01444
15530;01444
16307;01444
16752;01444
16193;01444
18013;01444
10763;01444
17368;01444
17867;01444
15747;01444
05892;01444
17610;01444
03654;01444
12187;01444
12249;01444
18421;01444
18486;01444
18489;01444
10517;01444
14668;01444
15848;01444
03265;01444
12962;01444
16680;01444
11232;01444
15896;01444
15667;01444
10046;01444
17828;01444
16521;01446
11210;01446
06355;01446
15686;01446
17925;01446
05518;01446
11396;01446
13932;01446
12374;01446
13695;01446
13696;01446
14523;01446
00983;01446
18552;01446
03884;01446
03976;01446
05171;01446
10812;01446
12633;01446
12830;01446
14470;01446
15028;01446
15402;01446
16273;01446
17147;01446
18124;01446
16433;01446
17885;01446
03149;01446
06312;01446
04209;01446
06819;01446
15750;01446
18459;01446
15067;01446
12453;01446
18577;01446
10872;01446
15258;01446
16511;01446
16601;01446
16602;01446
18245;01446
17130;01446
18539;01446
17741;01446
18440;01446
14066;01446
10763;01446
00142;01446
00302;01446
01011;01446
01384;01446
03560;01446
03783;01446
04519;01446
05069;01446
06536;01446
11203;01446
13764;01446
13956;01446
14732;01446
15395;01446
15845;01446
16296;01446
17482;01446
18294;01446
18383;01446
18431;01446
18507;01446
18521;01446
01111;01446
03369;01446
05098;01446
05892;01446
07221;01446
12330;01446
13017;01446
13312;01446
15530;01446
16752;01446
16996;01446
17825;01446
16806;01446
17288;01446
14496;01446
17867;01446
13062;01446
00057;01446
17610;01446
17989;01446
18494;01446
18508;01446
18514;01446
16362;01446
16896;01446
17018;01446
17832;01446
18083;01446
18473;01446
18489;01446
00878;01446
04440;01446
17226;01446
18429;01446
18497;01446
00664;01446
17994;01446
00700;01446
12962;01446
15667;01446
17192;01446
17308;01446
14918;01446
16321;01446
16472;01446
14506;01446
18537;01446
15848;01446
07673;01446
17304;01446
18467;01446
18479;01446
13124;01446
04233;01447
13932;01447
13695;01447
13696;01447
07031;01447
12764;01447
14246;01447
16283;01447
12429;01447
00336;01447
03448;01447
03520;01447
03948;01447
07388;01447
11492;01447
15969;01447
04054;01447
05171;01447
06444;01447
07070;01447
07740;01447
18091;01447
18265;01447
03149;01447
00138;01447
04209;01447
06404;01447
18459;01447
12453;01447
18458;01447
18553;01447
04167;01447
10872;01447
13094;01447
16755;01447
00119;01447
00654;01447
07621;01447
15151;01447
15328;01447
15377;01447
16862;01447
17741;01447
18490;01447
00267;01447
01428;01447
03369;01447
12205;01447
14687;01447
16296;01447
16512;01447
17306;01447
17482;01447
17809;01447
17867;01447
10763;01447
00142;01447
03773;01447
04158;01447
04519;01447
06054;01447
07221;01447
10411;01447
10771;01447
11180;01447
11640;01447
12330;01447
14042;01447
15461;01447
15751;01447
16382;01447
16407;01447
16806;01447
18126;01447
18299;01447
15747;01447
18013;01447
18296;01447
18431;01447
18451;01447
17288;01447
17610;01447
06727;01447
17368;01447
15724;01447
05892;01447
17989;01447
18485;01447
18514;01447
00878;01447
05018;01447
12187;01447
14606;01447
16362;01447
17005;01447
18289;01447
18421;01447
18433;01447
18473;01447
18486;01447
18489;01447
18522;01447
10517;01447
13143;01447
14669;01447
14980;01447
16572;01447
18420;01447
18511;01447
17226;01447
00067;01447
00197;01447
03265;01447
03847;01447
12962;01447
16680;01447
18397;01447
14918;01447
15896;01447
17154;01447
17470;01447
18576;01447
15667;01447
00040;01447
16682;01447
00600;01622
14634;01622
00033;01622
00098;01622
00108;01622
00109;01622
00604;01622
01047;01622
14329;01622
00075;01622
00106;01622
02146;01622
04143;01622
12309;01622
13860;01622
15584;01622
04538;01622
10537;01622
02332;01622
01146;01622
02102;01622
03836;01622
04307;01622
04429;01622
05503;01622
05771;01622
11168;01622
11870;01622
13831;01622
13981;01622
14746;01622
15105;01622
00333;01622
02089;01622
03854;01622
11922;01622
13187;01622
14019;01622
17083;01622
18409;01622
06311;01622
00407;01622
00411;01622
00707;01622
00400;01622
00431;01622
12473;01622
02492;01622
17357;01622
01040;01622
02197;01622
02342;01622
12220;01622
12460;01622
13918;01622
14220;01622
14282;01622
17733;01622
18116;01622
18160;01622
18164;01622
18540;01622
02196;01622
02198;01622
14593;01622
15355;01622
15357;01622
17113;01622
18161;01622
18163;01622
10531;01622
13978;01622
15356;01622
17594;01622
12370;01622
05034;01622
10980;01622
13311;01622
14043;01622
01903;01622
05235;01622
07093;01622
00451;01622
06270;01622
07416;01622
14379;01622
01822;01622
18248;01622
10457;01622
01154;01622
01156;01622
03347;01622
04480;01622
05868;01622
12219;01622
13247;01622
14478;01622
11987;01622
11976;01622
11979;01622
11982;01622
11988;01622
12526;01622
13271;01622
15183;01622
15506;01622
16174;01622
11975;01622
11981;01622
11983;01622
11984;01622
13804;01622
18208;01622
11210;01622
00805;01622
07031;01622
12764;01622
12429;01622
02054;01622
02221;01622
03165;01622
18375;01622
00478;01622
03552;01622
04505;01622
07194;01622
01747;01622
18455;01622
18009;01622
00486;01622
18459;01622
02060;01622
14642;01622
05501;01622
00477;01622
12281;01622
10094;01622
17326;01622
13152;01622
16359;01622
17431;01622
15173;01622
16762;01622
17303;01622
17741;01622
18473;01622
10084;01622
16956;01622
17255;01622
00600;01623
01309;01623
14329;01623
14634;01623
00108;01623
00109;01623
04143;01623
00106;01623
04538;01623
01047;01623
02146;01623
10537;01623
02332;01623
01146;01623
02097;01623
02214;01623
04132;01623
04307;01623
05867;01623
11168;01623
11870;01623
11922;01623
13187;01623
13831;01623
13981;01623
14483;01623
14746;01623
15105;01623
02089;01623
02092;01623
03854;01623
05503;01623
10505;01623
18409;01623
06311;01623
00407;01623
00411;01623
04475;01623
16370;01623
18125;01623
00400;01623
00401;01623
00404;01623
00431;01623
12473;01623
16521;01623
01040;01623
18116;01623
02196;01623
02342;01623
12460;01623
13978;01623
14220;01623
14282;01623
14593;01623
16152;01623
17733;01623
18159;01623
18161;01623
18162;01623
18540;01623
02197;01623
12220;01623
15356;01623
15357;01623
18163;01623
10531;01623
17594;01623
18247;01623
05034;01623
14814;01623
14043;01623
05235;01623
00656;01623
00451;01623
01903;01623
01972;01623
04466;01623
06270;01623
07416;01623
10498;01623
14379;01623
10975;01623
01822;01623
18248;01623
10457;01623
01154;01623
01155;01623
01156;01623
03347;01623
04480;01623
05868;01623
11314;01623
12219;01623
13247;01623
14478;01623
15081;01623
17450;01623
18175;01623
05329;01623
04055;01623
11396;01623
05518;01623
00805;01623
16792;01623
18280;01623
02054;01623
03165;01623
18375;01623
00478;01623
03552;01623
11719;01623
11720;01623
00903;01623
01747;01623
03143;01623
04505;01623
05498;01623
11254;01623
15111;01623
18281;01623
01249;01623
05087;01623
13923;01623
15028;01623
18407;01623
14609;01623
18459;01623
02060;01623
01054;01623
03172;01623
05501;01623
06820;01623
17673;01623
10934;01623
10094;01623
12179;01623
14701;01623
13937;01623
17326;01623
15014;01623
15067;01623
13935;01623
17431;01623
15173;01623
16359;01623
17303;01623
18473;01623
10069;01623
10084;01623
11477;01623
03354;01623
17470;01623
10046;01623
00600;01627
01309;01627
00033;01627
00075;01627
00098;01627
06635;01627
00106;01627
01047;01627
04143;01627
02146;01627
00431;01627
00404;01627
00400;01627
00408;01627
00707;01627
12473;01627
02490;01627
17357;01627
15355;01627
02196;01627
02198;01627
10531;01627
12220;01627
13918;01627
15356;01627
15357;01627
17733;01627
18116;01627
18164;01627
18540;01627
02197;01627
12460;01627
13978;01627
14593;01627
18163;01627
18247;01627
05034;01627
13311;01627
14043;01627
14814;01627
01903;01627
07093;01627
05235;01627
01972;01627
06270;01627
07416;01627
13140;01627
00451;01627
14379;01627
10457;01627
01822;01627
10975;01627
18248;01627
12219;01627
13247;01627
01153;01627
04480;01627
13022;01627
03347;01627
05329;01627
11210;01627
02054;01627
03165;01627
18375;01627
02053;01627
02220;01627
00478;01627
16745;01627
04036;01627
04505;01627
18455;01627
10431;01627
18407;01627
18558;01627
17404;01627
02060;01627
14642;01627
02047;01627
12406;01627
13575;01627
12086;01627
00477;01627
12179;01627
17303;01627
14615;01627
18458;01627
18432;01627
00372;01627
00067;01627
10084;01627
10046;01627
00076;01628
00098;01628
17733;01628
18247;01628
01903;01628
05235;01628
07093;01628
00656;01628
16313;01628
11987;01628
10015;01628
00067;01628
10084;01628
18528;03000
18252;03000
17958;03000
17932;03000
15293;03000
07340;03000
14826;03000
17025;03000
13748;03000
15709;03000
17489;03000
18528;03001
11626;03001
13493;03001
17932;03001
18572;03001
15709;03001
17489;03001
01315;03002
11626;03002
15747;03002
16295;03002
17996;03002
18282;03002
18572;03002
18433;03002
15667;03002
13748;03002
15709;03002
17489;03002
18528;03005
04396;03005
07340;03005
13748;03005
15709;03005
17489;03005
12453;03006
04396;03006
16534;03006
18572;03006
17241;03006
18001;03006
15667;03006
13748;03006
16682;03006
17489;03006
00032;03006
18528;03011
11626;03011
10763;03011
15747;03011
17996;03011
04396;03011
18001;03011
15667;03011
15709;03011
17489;03011
00032;03011
18528;03014
16865;03014
17932;03014
17996;03014
00040;03014
15709;03014
16682;03014
12222;03014
00032;03014
12453;03015
01315;03015
18528;03015
00354;03015
15530;03015
15693;03015
16865;03015
18205;03015
18572;03015
10763;03015
14263;03015
15318;03015
16295;03015
16534;03015
17886;03015
18170;03015
18204;03015
04396;03015
15747;03015
14264;03015
18195;03015
17857;03015
18001;03015
18433;03015
15667;03015
18549;03015
15709;03015
16682;03015
12024;03015
17489;03015
00032;03015
17370;03015
17378;03015
17377;03015
17372;03015
18363;03015
00894;03015
17373;03015
17804;03015
12453;03016
16625;03016
18528;03016
12851;03016
00862;03016
12205;03016
15693;03016
16193;03016
16534;03016
17878;03016
18282;03016
18572;03016
07340;03016
05514;03016
15692;03016
17071;03016
17886;03016
01394;03016
00919;03016
16227;03016
17547;03016
17785;03016
17937;03016
18337;03016
18365;03016
14263;03016
15725;03016
17046;03016
17241;03016
18170;03016
16798;03016
14264;03016
16407;03016
18195;03016
18431;03016
00354;03016
13690;03016
15318;03016
15923;03016
04396;03016
03848;03016
17857;03016
00417;03016
15507;03016
18204;03016
18205;03016
00302;03016
18313;03016
17808;03016
18001;03016
18519;03016
18549;03016
15709;03016
17489;03016
12024;03016
13250;03016
00894;03016
17378;03016
03373;03016
17370;03016
17377;03016
15996;03016
17372;03016
18363;03016
17373;03016
17804;03016
12077;03016
12453;03018
18528;03018
13493;03018
15318;03018
16295;03018
16865;03018
18039;03018
18205;03018
18282;03018
10763;03018
14263;03018
17932;03018
17937;03018
18170;03018
18204;03018
14264;03018
17886;03018
15747;03018
18195;03018
04396;03018
15923;03018
18313;03018
18433;03018
15667;03018
15709;03018
18549;03018
13748;03018
16682;03018
12024;03018
17489;03018
00032;03018
17378;03018
03373;03018
17370;03018
17377;03018
00894;03018
17372;03018
17373;03018
18363;03018
17804;03018
18528;03019
13493;03019
15318;03019
17886;03019
17932;03019
17996;03019
18572;03019
04396;03019
16295;03019
18001;03019
18433;03019
13748;03019
16682;03019
18549;03019
15709;03019
17489;03019
00032;03019
17370;03019
17377;03019
17378;03019
17372;03019
17373;03019
18363;03019
17804;03019
12453;03021
16295;03021
17932;03021
18282;03021
18572;03021
10763;03021
04378;03021
18549;03021
17489;03021
15709;03021
18405;03021
18052;03021
18528;03024
10763;03024
15318;03024
17046;03024
17932;03024
18282;03024
18433;03024
13748;03024
15709;03024
17489;03024
18549;03024
13250;03024
00032;03024
12066;03027
12453;03027
04396;03027
18572;03027
10763;03027
17857;03027
18001;03027
15667;03027
15709;03027
16682;03027
17489;03027
12453;03029
18306;03029
18528;03029
17072;03029
04396;03029
15692;03029
15747;03029
16534;03029
16865;03029
17932;03029
18039;03029
18282;03029
18572;03029
10763;03029
17231;03029
17886;03029
17958;03029
15293;03029
17937;03029
18313;03029
18001;03029
18433;03029
04378;03029
15667;03029
16682;03029
18229;03029
17489;03029
18405;03029
00040;03029
15709;03029
00032;03029
18528;03035
18282;03035
17489;03035
15709;03035
18528;03038
17996;03038
18282;03038
18572;03038
17436;03038
18001;03038
00040;03038
17489;03038
18549;03038
15709;03038
00032;03038
13250;03038
03373;03038
18528;03040
04396;03040
18282;03040
00040;03040
13748;03040
17489;03040
15709;03040
12453;03045
01315;03045
18306;03045
18528;03045
17996;03045
18282;03045
18433;03045
15709;03045
17489;03045
18229;03045
13748;03045
18282;03047
00040;03047
13748;03047
15709;03047
16682;03047
17489;03047
00032;03047
12453;03052
18528;03052
10763;03052
17886;03052
17932;03052
17996;03052
18572;03052
15747;03052
03238;03052
18433;03052
00040;03052
13748;03052
15709;03052
17489;03052
18549;03052
17931;03052
00032;03052
18052;03052
12453;03076
18528;03076
17867;03076
16865;03076
17996;03076
18039;03076
18282;03076
18572;03076
17932;03076
17436;03076
00040;03076
17489;03076
18549;03076
15709;03076
18052;03076
01315;03089
18306;03089
18528;03089
16625;03089
13493;03089
15530;03089
16865;03089
17996;03089
18282;03089
18572;03089
10763;03089
17932;03089
04396;03089
15667;03089
00040;03089
18549;03089
13748;03089
15709;03089
17489;03089
00032;03089
18528;03092
18282;03092
16682;03092
18405;03092
15709;03092
17489;03092
18528;03097
16295;03097
16534;03097
17996;03097
18282;03097
18289;03097
17489;03097
18229;03097
13748;03097
15709;03097
12453;03110
16534;03110
18039;03110
18282;03110
17932;03110
04378;03110
00040;03110
13748;03110
17489;03110
18229;03110
15709;03110
18528;03114
07340;03114
15747;03114
13748;03114
15709;03114
00032;03114
05072;04206
16497;04206
03836;04206
06310;04206
13981;04206
02056;04206
02094;04206
03854;04206
05867;04206
10505;04206
10537;04206
11646;04206
12248;04206
14868;04206
18393;04206
13831;04206
14746;04206
00333;04206
02097;04206
02099;04206
02214;04206
04307;04206
05503;04206
11168;04206
14227;04206
11870;04206
02088;04206
02089;04206
02105;04206
04429;04206
11922;04206
14483;04206
15330;04206
18409;04206
06311;04206
15105;04206
02098;04206
13187;04206
02092;04206
02111;04206
16787;04206
04132;04206
00401;04206
12473;04206
14229;04206
00404;04206
16370;04206
04475;04206
18125;04206
00400;04206
00407;04206
15114;04206
00431;04206
04203;04206
10066;04206
02490;04206
02492;04206
04306;04206
17357;04206
02491;04206
01379;04206
17397;04206
00801;04206
07638;04206
07699;04206
17250;04206
17541;04206
18014;04206
01040;04206
15555;04206
16122;04206
18027;04206
18329;04206
00825;04206
00833;04206
00834;04206
06944;04206
13111;04206
14735;04206
02198;04206
12460;04206
13918;04206
15355;04206
15356;04206
16152;04206
18161;04206
18162;04206
18164;04206
18540;04206
02196;04206
02197;04206
02342;04206
10531;04206
12220;04206
13978;04206
14220;04206
14282;04206
14593;04206
15357;04206
15962;04206
17113;04206
17733;04206
18116;04206
18117;04206
18163;04206
17590;04206
05235;04206
00656;04206
00451;04206
01903;04206
10498;04206
01153;04206
01155;04206
01156;04206
03347;04206
04187;04206
13022;04206
05868;04206
13247;04206
06355;04206
15686;04206
17925;04206
16116;04206
17170;04206
11396;04206
13932;04206
04233;04206
00983;04206
00805;04206
12831;04206
13409;04206
12764;04206
16283;04206
13429;04206
14765;04206
12066;04206
02314;04206
03825;04206
15361;04206
10761;04206
11366;04206
03149;04206
06167;04206
07393;04206
11527;04206
12633;04206
01747;04206
07194;04206
10431;04206
10983;04206
10985;04206
16735;04206
18157;04206
00105;04206
00346;04206
00478;04206
02297;04206
03448;04206
05087;04206
06742;04206
07160;04206
11191;04206
11572;04206
11718;04206
11720;04206
12775;04206
13055;04206
14289;04206
15969;04206
16397;04206
17445;04206
17584;04206
18004;04206
18051;04206
18191;04206
18265;04206
18358;04206
18524;04206
18525;04206
03597;04206
15679;04206
14609;04206
03092;04206
15237;04206
17404;04206
04209;04206
06820;04206
13575;04206
03172;04206
05501;04206
06312;04206
11294;04206
12471;04206
13885;04206
14405;04206
14642;04206
14862;04206
18459;04206
00155;04206
12086;04206
18359;04206
12467;04206
00477;04206
11834;04206
17543;04206
11995;04206
12038;04206
13333;04206
18388;04206
13937;04206
17326;04206
10679;04206
16568;04206
15013;04206
15067;04206
17437;04206
18139;04206
17438;04206
18138;04206
14615;04206
17501;04206
17503;04206
17505;04206
18539;04206
00995;04206
03619;04206
05445;04206
16511;04206
18582;04206
17436;04206
03654;04206
03238;04206
12936;04206
18275;04206
10517;04206
10069;04206
02207;04206
00836;04206
11477;04206
16009;04206
17255;04206
05072;04207
16263;04207
16497;04207
05771;04207
06310;04207
11646;04207
13981;04207
18544;04207
00333;04207
02094;04207
02109;04207
02332;04207
11168;04207
12248;04207
14483;04207
14868;04207
17083;04207
18182;04207
11870;04207
13831;04207
15105;04207
02098;04207
01146;04207
02056;04207
02088;04207
02089;04207
02097;04207
02214;04207
03836;04207
04307;04207
05867;04207
06311;04207
11922;04207
15330;04207
18409;04207
18393;04207
02102;04207
13187;04207
16787;04207
04429;04207
02092;04207
05503;04207
02105;04207
04132;04207
02111;04207
05164;04207
12473;04207
16370;04207
00707;04207
00401;04207
00404;04207
00411;04207
00412;04207
04475;04207
15114;04207
18125;04207
04203;04207
10066;04207
14229;04207
00400;04207
00407;04207
00431;04207
15581;04207
15171;04207
18510;04207
18509;04207
13803;04207
16228;04207
15841;04207
12210;04207
18513;04207
15806;04207
16163;04207
17357;04207
02490;04207
04306;04207
02491;04207
01040;04207
01379;04207
00874;04207
07699;04207
18014;04207
15555;04207
00801;04207
00834;04207
07701;04207
17250;04207
17397;04207
00833;04207
17541;04207
18027;04207
00825;04207
06944;04207
14735;04207
16122;04207
18329;04207
13111;04207
18117;04207
18160;04207
02198;04207
02342;04207
12220;04207
13918;04207
18159;04207
18162;04207
18164;04207
18540;04207
02197;04207
12460;04207
15356;04207
15357;04207
15962;04207
16152;04207
17113;04207
18116;04207
02196;04207
10531;04207
13978;04207
14220;04207
14282;04207
15355;04207
17733;04207
18163;04207
17590;04207
