id;nome; volume ; em_destaque ;imagem_url;produto_url
91429;PIC. DOCE DE LEITE TIROL;65G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_creme_doce_de_leite.png.webp;https://paviloche.com.br/produtos/doce-de-leite-2/
91449;PIC. GRAN CHOCOLATE;80G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/picole_cobertura_granchocolate_paviloche.png.webp;https://paviloche.com.br/produtos/gran-chocolate-2/
91401;PIC. CREME COCO     ;60G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_creme_coco.png.webp;https://paviloche.com.br/produtos/coco-2/
91428;PIC. CREME LEITINHO    ;60G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_creme_leitinho.png.webp;https://paviloche.com.br/produtos/leitinho-2/
91413;PIC. CREME CHOCOLEITE     ;60G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_creme_chocoleite.png.webp;https://paviloche.com.br/produtos/chocoleite-2/
91417;PIC. CREME MILHO VERDE    ;60G; FASLSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_creme_milho_verde.png.webp;https://paviloche.com.br/produtos/milho-verde/
91402;PIC. FRUTA UVA       ;57G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_fruta_uva.png.webp;https://paviloche.com.br/produtos/uva/
91403;PIC. FRUTA LIMÃO    ;57G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_fruta_limao.png.webp;https://paviloche.com.br/produtos/limao/
91411;PIC. FRUTA ABACAXI    ;57G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_fruta_abacaxi.png.webp;https://paviloche.com.br/produtos/abacaxi/
91419;PIC. FRUTA MORANGO    ;57G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_fruta_morango-1.png.webp;https://paviloche.com.br/produtos/morango-3/
91448;PIC. KIDS UNIPOP       ;65G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_kids_unipop.png.webp;https://paviloche.com.br/produtos/unipop-3/
91409;PIC. KIDS PAVILÉ     ;60G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_kids_pavile-2.png.webp;https://paviloche.com.br/produtos/pavile-2/
91410;PIC. KIDS ALGODÃO DOCE     ;60G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_kids_algodao_doce.png.webp;https://paviloche.com.br/produtos/algodao-doce-2/
91423;PIC. KIDS RABISCO BRANCO      ;40G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_kids_rabisco_chocolate_branco.png.webp;https://paviloche.com.br/produtos/rabisco-chocolate-branco/
91425;PIC. KIDS RABISCO PRETO  ;40G; FALSE ;https://paviloche.com.br/wp-content/webp-express/webp-images/uploads/2024/01/Picole_paviloche_kids_rabisco_chocolate_preto.png.webp;https://paviloche.com.br/produtos/rabisco-chocolate-branco/
