id;nome;rua;bairro ;cidade;cep;estado
16667;PRIME TABACARIA;RUA PRUDENTE DE MORAIS, 73;CENTRO;UNIAO DA VITORIA;84600125;PR
16675;POSTO LEAO;RODOVIA SC 370, 232;BELA VISTA;BRACO DO NORTE;88750000;SC
16684;GULA REAL;RUA XAVANTES, 1059;SANTA CRUZ;CASCAVEL;85806020;PR
16692;POSTO PUMA;AV SAO PAULO, 383;CENTRO;ROSARIO DO IVAI;86850000;PR
16707;POINT CONVENIENCIAS;RUA DOM PEDRO II, 106;CENTRO;UNIAO DA VITORIA;84600295;PR
16712;BEACH STOP CONVENIEN;AVENIDA LEOPOLDO ZARLING, 1185;BOMBAS;BOMBINHAS;88215000;SC
16847;POSTO TUIUTI;RUA TUIUTI, 1729;AVENTUREIRO;JOINVILLE;89226000;SC
16896;POSTO RC CENTRO;R VISCONDE DE TAUNAY, 155;CENTRO;JOINVILLE;89201420;SC
16951;LJM COMERCIO DE COMB;BR 470 KM 116, 1265;ANCHIETA;IBIRAMA;89140000;SC
16998;POSTO PIRAMIDE;TENENTE ARY RAUEN, 429;CENTRO;PAPANDUVA;89370000;SC
17005;POSTO SANTOS DUMONT;AV SANTOS DUMONT, 601;BOM RETIRO;JOINVILLE;89223001;SC
17018;POSTO CARDOSO;RUA DIOMICIO FREITAS, ESQUINA, 345;PRESIDENTE VARGAS;ICARA;88820000;SC
17028;POSTO DA PRACA;AVENIDA VALERIO GOMES, 280;PRACA;TIJUCAS;88200000;SC
17160;POSTOS ROSSO*;RODOVIA BR 101 KM 298, 0;ITAPITUBA;LAGUNA;88790000;SC
17203;MOINHO CONVENIENCIA;RUA BALTAZAR BUSCHLE, 2520;ESPINHEIROS;JOINVILLE;89228000;SC
17214;BULL PRIME OTTO;R OTTO BOEHM, 1195;GLORIA;JOINVILLE;89216284;SC
17226;CHOPERIA FRITZ;XV DE OUTUBRO, 3928;RIO BONITO;JOINVILLE;89239700;SC
17260;CARAMELA EMPORIO;ISIDORO CAETANO, 307;PIONEIROS;BALNEARIO CAMBORIU;88331005;SC
17322;UNI EXPRESS;AVENIDA PRESIDENTE NEREU RAMOS, 933;JARDIM DO MOINHO;MAFRA;89306076;SC
17323;MULLER CONVENIENCIA;RUA DONA FRANCISCA, 1050;SAGUACU;JOINVILLE;89221006;SC
17360;DO MINEIRO CONVENIEN;RUA SAO JOSE DOS CEDROS, 169;IRIRIU;JOINVILLE;89227040;SC
17398;JOBER DISTRIBUIDORA;AV HEITOR ALENCAR FURTADO, 2600;JARDIM SAO JORGE;PARANAVAI;87711000;PR
17399;KITUTES DA ILHA;AVENIDA SAO FRANCISCO DO SUL,  250, SALA;PRAIA GRANDE;SAO FRANCISCO DO SUL;89240000;SC
17400;PONTO MIME BUCAREIN;RUA SAO PAULO LOJA N 11 E N 12, 808;BUCAREIN;JOINVILLE;89202257;SC
17401;MUNDI BIEER;RUA CARLOS VITOR HARDT, 151;VILA NOVA;JOINVILLE;89237330;SC
17407;BAR E CANCHA DICKS;AUGUSTO BAUER, 540;VILA ITOUPAVA;BLUMENAU;89075300;SC
17408;CROCCO ESFIRRAS;AV PONTA GROSSA, 640;CENTRO;GUARATUBA;83280000;PR
17409;NOVA CONVENIENCIA CE;AVENIDA ANDRE RODRIGUES DE FREITAS, 1066;ITAPEMA DO NORTE;ITAPOA;89249000;SC
17410;CONV PRAIA GRANDE;AVENIDA DAS DUNAS, 472;PRAIA GRANDE;SAO FRANCISCO DO SUL;89240000;SC
17411;EMPORIO PALACIO;RUA OTTO PFUETZENREUTER, 371;COSTA E SILVA;JOINVILLE;89219200;SC
17417;CAFETERIA ODARA;R PORTUGAL, 335;BREJATUBA;GUARATUBA;83280000;PR
17420;BAZINHA;51, 46;CENTRO;BALNEARIO CAMBORIU;88330675;SC
17432;ADEGA E TRATTORIA SA;RUA ARGENTINA, 1510;CENTRO;SANTA HELENA;85892000;PR
17436;TOP HAUS;AV. PREFEITO JOSE JUVENAL MAFRA, 7155;GRAVATA;NAVEGANTES;88372506;SC
17440;SAHARA COMERCIO DE B;RUA JOAO MARIA GOES, 52;GUATUPE;SAO JOSE DOS PINHAIS;83060206;PR
17441;CHEQUE LANCHES PIZZA;AV JOAQUIM BONETTI ENEAS MARQUES, 745;CENTRO;FRANCISCO BELTRAO;85630000;PR
17453;BR COMBOS ALIMENTACA;SANTOS DUMONT, 1135;BOM RETIRO;JOINVILLE;89218105;SC
17459;ORIGINAL CONVENIENCI;25 DE JULHO, 1090;ITOUPAVA NORTE;BLUMENAU;89053001;SC
17460;FAST4YOU HOME MARKET;R FRANCISCO ALVES, 395;FLORESTA;JOINVILLE;89212220;SC
17465;CAMARGO PAIS E FILHO;GUERINO POMIN, 1285;JARDIM IGUACU;PARANAVAI;87705390;PR
17480;DUFF CONVENIENCIA;AVENIDA MANOEL RIBAS, 3088;CONRADINHO;GUARAPUAVA;85055010;PR
17500;MER BEBIDAS;RUA JOAO PIO DUARTE SILVA, 369;CORREGO GRANDE;FLORIANOPOLIS;88037000;SC
17513;SUPER GULLA GUATUPE;RUA MADRE TEREZA DE CALCUTA, 479;GUATUPE;SAO JOSE DOS PINHAIS;83060800;PR
17515;MX3 ARENA;ROD OSWALDO OLSEN, 1100;GIOPPO;CACADOR;89507597;SC
17517;CONVENIENCIA DO VALD;RUA WALDEMIRO ROSA, 864;ADHEMAR GARCIA;JOINVILLE;89230705;SC
